episode,episode_length,total_reward,epsilon,avg_q_value
281,73,-47.97686465801062,0.7549221906868242,35.52323
282,116,-218.6426628754615,0.7541672684961374,35.279423
283,95,-102.62349489909518,0.7534131012276413,35.511333
284,84,-82.5966236980816,0.7526596881264136,34.80714
285,108,-54.86113842580934,0.7519070284382872,35.384705
286,99,-50.02124608976983,0.7511551214098489,35.214497
287,86,-82.66537508861877,0.750403966288439,35.38105
288,79,-51.68318956888112,0.7496535623221505,34.837482
289,101,-42.99899622152893,0.7489039087598284,34.584312
290,90,-103.16752093154471,0.7481550048510686,34.49297
291,92,-29.10695538999623,0.7474068498462175,34.346638
292,56,-48.67954614703895,0.7466594429963713,34.79306
293,127,-73.78045833552166,0.745912783553375,35.33994
294,79,-276.2281156261945,0.7451668707698216,34.332115
295,98,-55.77156896001636,0.7444217038990517,35.39333
296,131,-77.40798867258871,0.7436772821951526,35.130714
297,117,-104.63041412240443,0.7429336049129575,34.619743
298,148,-40.992942843512935,0.7421906713080445,35.02034
299,129,-16.894414160333227,0.7414484806367364,35.96963
300,85,-85.58969310707624,0.7407070321560997,35.289772
301,64,-55.31484882345245,0.7399663251239436,35.16552
302,61,-47.15896726422642,0.7392263587988196,35.894146
303,63,-75.94323412427084,0.7384871324400207,35.572
304,82,-51.957978575616686,0.7377486453075807,35.32831
305,99,-133.58660018590285,0.737010896662273,35.634373
306,126,-67.99710151873806,0.7362738857656108,35.33147
307,102,-10.214238917523048,0.7355376118798452,35.291393
308,68,-75.12160970138872,0.7348020742679654,35.644585
309,93,-52.876659763357324,0.7340672721936974,35.416138
310,93,-54.377876998068714,0.7333332049215037,35.87169
311,68,-62.3316780010548,0.7325998717165821,35.70936
312,113,-108.77244475609308,0.7318672718448656,35.924625
313,76,-70.53387613628782,0.7311354045730207,35.633183
314,76,-60.1237612334472,0.7304042691684477,35.84132
315,148,-61.71088429058598,0.7296738648992792,35.37934
316,112,-47.986288103065185,0.7289441910343799,35.736023
317,91,-78.34484584886734,0.7282152468433455,35.728546
318,133,-82.33229839176832,0.7274870315965022,35.155514
319,62,-87.38785222430118,0.7267595445649057,35.189613
320,155,-101.29107792560858,0.7260327850203407,36.09503
321,69,-49.16788296858113,0.7253067522353204,35.119686
322,89,-61.8860057422383,0.724581445483085,35.209724
323,98,-47.15164159901269,0.723856864037602,35.246227
324,109,-65.29489784734247,0.7231330071735643,35.155853
325,102,-62.37987100263087,0.7224098741663908,35.987495
326,100,-31.869487013446985,0.7216874642922244,34.99801
327,140,-68.26375539298996,0.7209657768279322,35.54437
328,70,-56.463714391979806,0.7202448110511043,35.173607
329,91,-73.17065695618888,0.7195245662400531,35.287006
330,140,-161.29344108157866,0.7188050416738131,35.5244
331,73,-55.36098174911112,0.7180862366321393,35.194874
332,83,-70.87682382919574,0.7173681503955072,35.29322
333,82,-106.0745932959972,0.7166507822451117,35.532925
334,150,-14.437501865487391,0.7159341314628666,35.624134
335,158,-74.44976691776253,0.7152181973314037,35.157368
336,99,-83.74615688389716,0.7145029791340722,35.628944
337,64,-46.511299885279584,0.7137884761549381,35.24964
338,97,-131.7919627003092,0.7130746876787832,35.257713
339,113,-81.66306792909428,0.7123616129911045,35.216335
340,105,-67.13024847606155,0.7116492513781133,35.10079
341,83,-111.827305616319,0.7109376021267352,34.980213
342,95,-109.01756007599072,0.7102266645246085,35.099937
343,102,-10.903327377150916,0.7095164378600839,35.722298
344,157,-14.339077351738396,0.7088069214222238,35.475853
345,67,-82.71662363432523,0.7080981145008015,35.932198
346,68,-88.98273469420127,0.7073900163863007,35.50628
347,148,-80.07044860014247,0.7066826263699144,34.707375
348,68,-94.77223125201415,0.7059759437435444,35.421944
349,60,-54.23178689175728,0.7052699677998009,34.58921
350,139,-109.76601724267212,0.704564697832001,34.296753
351,127,-46.14311946029187,0.7038601331341691,34.954926
352,112,-97.91659428051827,0.7031562730010349,35.614502
353,116,-113.24671834379558,0.7024531167280339,35.019066
354,106,-120.93204340455421,0.7017506636113059,34.86084
355,79,-88.24826960338183,0.7010489129476946,35.105354
356,91,-57.51196052064984,0.7003478640347469,34.76063
357,79,-56.115437612897644,0.6996475161707122,35.608356
358,73,-66.0955522250529,0.6989478686545415,35.075
359,72,-54.142197372149326,0.698248920785887,34.688435
360,101,-69.9688576669939,0.6975506718651011,34.276245
361,99,-34.98137048824567,0.6968531211932361,34.996044
362,128,-63.64524313727997,0.6961562680720428,34.9798
363,144,-57.95922800977735,0.6954601118039707,35.489193
364,100,-142.0172566231434,0.6947646516921667,35.106148
365,72,-82.74055433862281,0.6940698870404746,35.521805
366,110,-121.54420097356746,0.6933758171534341,36.104675
367,88,-69.50741921559205,0.6926824413362807,35.142956
368,120,-53.48691090173228,0.6919897588949444,35.702446
369,67,-48.51642468129671,0.6912977691360495,36.341217
370,69,-57.216937291368865,0.6906064713669134,36.0177
371,96,-48.0830235792713,0.6899158648955466,35.844368
372,90,-82.45169134192109,0.689225949030651,36.173637
373,78,-89.75436347341424,0.6885367230816204,35.430084
374,98,-26.06270375421127,0.6878481863585387,35.98118
375,105,-21.30982546876548,0.6871603381721801,35.558174
376,71,-63.889559668056265,0.686473177834008,36.02616
377,85,-8.820317484217554,0.685786704656174,35.042385
378,86,-81.94870178304268,0.6851009179515178,35.192146
379,100,-61.20701976644837,0.6844158170335664,35.41072
380,55,-77.69916320514287,0.6837314012165328,36.57021
381,104,-95.89492292403163,0.6830476698153162,36.198746
382,91,-72.78165036424409,0.6823646221455009,36.388176
383,124,-63.357845405817784,0.6816822575233553,35.78222
384,87,-68.9386299741279,0.6810005752658319,35.593437
385,81,-96.5055186261821,0.680319574690566,36.018257
386,79,-77.93173317889153,0.6796392551158754,36.246113
387,65,-65.93977757067219,0.6789596158607596,35.95366
388,80,-119.369161686252,0.6782806562448989,36.324486
389,81,-26.867743870616607,0.677602375588654,37.058197
390,134,-80.09190737402574,0.6769247732130653,35.96038
391,109,-83.75157037125193,0.6762478484398523,35.68135
392,104,-54.71984381483108,0.6755716005914124,36.56637
393,65,-73.96897391015939,0.674896028990821,35.88267
394,70,-34.470395967514875,0.6742211329618302,36.43597
395,73,-114.91084726285939,0.6735469118288684,35.783405
396,97,-89.42634692935025,0.6728733649170395,37.059597
397,82,-66.50869957373791,0.6722004915521225,35.776237
398,75,-19.58623911359834,0.6715282910605703,36.66104
399,68,-17.141399679203047,0.6708567627695098,36.494835
400,143,-55.16560136093503,0.6701859060067403,36.335472
401,102,-90.76735673649416,0.6695157201007336,36.447517
402,89,-89.68083452885355,0.6688462043806328,37.618153
403,69,-56.8954776260687,0.6681773581762521,37.29201
404,116,-53.18296949844827,0.6675091808180759,37.008984
405,147,-74.91035014722075,0.6668416716372578,37.186466
406,105,-23.638786067189685,0.6661748299656206,36.894176
407,152,18.767756875013404,0.6655086551356549,37.331894
408,101,-68.62380236168966,0.6648431464805192,37.6588
409,157,-54.02780445050644,0.6641783033340387,37.081356
410,78,-64.70483209474858,0.6635141250307047,37.4297
411,134,-34.95139642676615,0.662850610905674,37.18518
412,82,-73.1828498632339,0.6621877602947683,36.93586
413,95,-101.05584454136839,0.6615255725344735,37.060135
414,80,-52.446746943737494,0.660864046961939,37.039177
415,114,-74.22978838921506,0.660203182914977,36.983112
416,72,-14.448186746480545,0.6595429797320621,37.999435
417,93,-44.54473271182596,0.6588834367523301,38.07091
418,86,-89.21419039172397,0.6582245533155777,37.730167
419,77,-28.06000221069405,0.6575663287622622,37.862026
420,116,-36.91997469082969,0.6569087624334999,37.574547
421,101,-80.67608645329145,0.6562518536710664,38.416862
422,147,-89.63290646422575,0.6555956018173954,38.156876
423,81,-55.138505454060706,0.654940006215578,38.258347
424,85,-40.211926711030685,0.6542850662093624,37.794544
425,142,-32.02798321594112,0.6536307811431531,38.740135
426,99,-102.95996028040128,0.65297715036201,38.791546
427,128,-21.077139762593617,0.6523241732116479,37.803017
428,91,-22.210202011810154,0.6516718490384363,39.26226
429,70,-78.77826814114783,0.6510201771893979,38.881664
430,110,-65.13398293626928,0.6503691570122084,38.563297
431,110,-59.6255779002402,0.6497187878551962,38.908882
432,106,-61.37326835304437,0.649069069067341,39.5761
433,123,-35.4884274880489,0.6484199999982736,38.51861
434,76,-81.56873660011925,0.6477715799982753,37.900475
435,71,-32.516805230791036,0.647123808418277,38.957745
436,65,-26.78225671880655,0.6464766846098587,38.59565
437,138,-92.45977004075536,0.6458302079252489,39.72152
438,71,-84.98951449490079,0.6451843777173236,38.683147
439,103,-67.168422048916,0.6445391933396063,38.05795
440,72,-32.31850862308657,0.6438946541462667,38.45437
441,117,-79.26483524414193,0.6432507594921204,39.014874
442,136,-80.03643824485377,0.6426075087326283,38.750725
443,108,-65.82488492626707,0.6419649012238956,39.25654
444,93,-60.559889208568435,0.6413229363226717,39.528008
445,124,-19.307845284216327,0.640681613386349,39.088245
446,125,-54.427554750877164,0.6400409317729626,38.94149
447,67,-63.205302485503026,0.6394008908411897,38.48012
448,126,-24.775478238494244,0.6387614899503485,39.039097
449,106,-33.93656232081008,0.6381227284603982,38.312202
450,101,-51.82227251865146,0.6374846057319378,38.35622
451,118,-49.31582924709651,0.6368471211262058,38.542805
452,66,-50.89655356196404,0.6362102740050796,38.549152
453,92,-52.91945278637279,0.6355740637310745,37.364388
454,79,7.487654978164912,0.6349384896673435,38.745247
455,139,-19.87168717250131,0.6343035511776761,38.745575
456,135,-91.03393268672544,0.6336692476264985,38.101234
457,88,-86.52130317822974,0.6330355783788719,37.325294
458,116,-23.283358304215625,0.632402542800493,37.744812
459,83,-13.658479330573257,0.6317701402576925,39.18511
460,98,-90.35786026682342,0.6311383701174348,39.314686
461,99,-38.98983969491846,0.6305072317473174,39.537384
462,135,-94.51532339030425,0.6298767245155701,39.854015
463,96,-18.123781951887864,0.6292468477910546,38.58658
464,79,-70.63650628471048,0.6286176009432635,39.3059
465,120,-86.4636736467395,0.6279889833423202,39.113987
466,113,-57.82735260828434,0.6273609943589779,39.699856
467,71,-56.22643161194087,0.6267336333646188,39.313854
468,120,-55.811424039883846,0.6261068997312542,39.506626
469,113,-55.89186591884962,0.6254807928315229,40.077267
470,74,-113.67801072118901,0.6248553120386914,39.7266
471,122,-70.10503094237272,0.6242304567266527,39.49055
472,90,-54.60291208645539,0.623606226269926,39.87829
473,96,-40.30011802607618,0.6229826200436561,39.77984
474,76,-47.69168558995534,0.6223596374236124,39.262722
475,72,-55.0446659708584,0.6217372777861888,39.616375
476,83,-78.34634503637378,0.6211155405084027,39.222385
477,100,-86.33324936911812,0.6204944249678943,39.73072
478,119,-57.483199921176194,0.6198739305429264,39.137917
479,123,-65.58165408983261,0.6192540566123834,39.615635
480,62,-62.46378470166341,0.6186348025557711,39.797718
481,62,-59.17391235986845,0.6180161677532153,39.561306
482,102,-73.24678840752723,0.6173981515854621,39.991383
483,90,-75.50055297772137,0.6167807534338766,39.97498
484,131,-47.450172896873745,0.6161639726804428,40.317566
485,133,-29.24644085538975,0.6155478087077623,40.957207
486,81,-29.98932819482212,0.6149322608990545,41.15957
487,64,-61.6668596489369,0.6143173286381555,40.185894
488,117,-16.225464798785637,0.6137030113095173,40.429035
489,62,-76.59646827505614,0.6130893082982078,40.223164
490,123,-22.628125938891444,0.6124762189899097,40.07009
491,141,-11.382709783821426,0.6118637427709198,39.540314
492,96,-62.998444758595404,0.6112518790281489,39.237663
493,144,5.198954273135882,0.6106406271491208,39.85789
494,71,-78.20012885350216,0.6100299865219717,39.092182
495,95,-47.53643963763836,0.6094199565354498,39.46525
496,88,-60.36170355354642,0.6088105365789144,39.37684
497,68,-29.344967888090295,0.6082017260423355,39.9788
498,84,-52.25073853239118,0.6075935243162931,39.92436
499,94,-56.03282215316955,0.6069859307919768,39.699684
500,128,-101.00601994308795,0.6063789448611848,39.997704
501,100,-36.83539023141511,0.6057725659163237,40.302116
502,61,-102.08646799866672,0.6051667933504074,39.678997
503,79,-28.7408711643277,0.6045616265570569,39.70211
504,75,-17.168339307859526,0.6039570649304998,39.507732
505,113,-48.70563182866181,0.6033531078655693,38.668037
506,99,-63.47086222250144,0.6027497547577038,40.23191
507,81,-56.71095659515571,0.602147005002946,39.248405
