episode,episode_length,total_reward,epsilon,avg_q_value
165,111,51.0,0.43732904629000013,-0.024137318
166,98,74.0,0.4351424010585501,0.054436147
167,118,78.0,0.43296668905325736,0.22935504
168,250,124.0,0.43080185560799106,0.5529727
169,140,18.0,0.4286478463299511,0.3111204
170,132,58.0,0.42650460709830135,0.49462873
171,15,-9.0,0.42437208406280985,0.4496969
172,102,64.0,0.4222502236424958,0.535642
173,188,38.0,0.42013897252428334,0.57390994
174,126,70.0,0.4180382776616619,0.55367154
175,223,101.0,0.4159480862733536,0.97707194
176,29,11.0,0.41386834584198684,1.0581125
177,192,36.0,0.4117990041127769,1.005281
178,167,117.0,0.40974000909221303,1.112587
179,108,28.0,0.40769130904675194,1.0664334
180,18,-8.0,0.40565285250151817,0.8926145
181,16,-2.0,0.4036245882390106,1.1732836
182,24,-12.0,0.4016064652978155,1.1145283
183,155,53.0,0.3995984329713264,1.0938036
184,61,29.0,0.3976004408064698,1.2169468
185,119,69.0,0.39561243860243744,1.3490635
186,143,39.0,0.3936343764094253,1.5643972
187,159,25.0,0.39166620452737816,1.5207481
188,186,68.0,0.3897078735047413,1.6049347
189,194,60.0,0.3877593341372176,1.5364614
190,127,31.0,0.3858205374665315,1.3921669
191,130,18.0,0.38389143477919885,1.5269704
192,157,17.0,0.3819719776053028,1.9345152
193,128,90.0,0.3800621177172763,2.109376
194,60,32.0,0.37816180712868996,2.0325487
195,70,36.0,0.37627099809304654,1.8405633
196,156,50.0,0.3743896431025813,2.0440757
197,164,114.0,0.37251769488706843,1.9363024
198,179,89.0,0.3706551064126331,1.9389784
199,175,99.0,0.36880183088056995,2.3791015
200,300,160.0,0.3669578217261671,2.2983134
201,226,90.0,0.36512303261753626,2.1370451
202,170,70.0,0.3632974174544486,2.214154
203,68,38.0,0.3614809303671764,2.2719762
204,231,129.0,0.3596735257153405,2.5021796
205,143,83.0,0.3578751580867638,2.5361571
206,37,15.0,0.35608578229633,2.7290993
207,144,60.0,0.3543053533848483,2.629596
208,308,198.0,0.35253382661792404,2.6653142
209,224,156.0,0.3507711574848344,2.7492332
210,104,64.0,0.34901730169741024,2.6806998
211,113,33.0,0.3472722151889232,3.0271392
212,134,98.0,0.3455358541129786,3.0888412
213,238,160.0,0.3438081748424137,2.9426699
214,96,46.0,0.3420891339682016,3.081037
215,337,213.0,0.3403786882983606,3.0945666
216,39,7.0,0.3386767948568688,3.1469688
217,209,157.0,0.33698341088258443,3.6777568
218,74,28.0,0.3352984938281715,3.7098536
219,216,116.0,0.33362200135903064,3.712806
220,97,59.0,0.33195389135223546,3.6971092
221,152,86.0,0.3302941218954743,3.806657
222,86,14.0,0.32864265128599696,3.7063131
223,87,17.0,0.326999438029567,3.6930094
224,119,63.0,0.3253644408394192,3.6849618
225,57,7.0,0.3237376186352221,4.345507
226,118,84.0,0.322118930542046,4.263793
227,65,41.0,0.32050833588933575,4.194883
228,209,101.0,0.31890579420988907,4.4234905
229,233,149.0,0.3173112652388396,4.244959
230,438,330.0,0.3157247089126454,4.7839265
231,239,163.0,0.3141460853680822,4.723255
232,38,16.0,0.3125753549412418,4.919043
233,196,106.0,0.31101247816653554,4.8440237
234,176,108.0,0.30945741577570285,4.8240213
235,58,38.0,0.3079101286968243,4.847204
236,202,146.0,0.3063705780533402,5.0545125
237,207,169.0,0.30483872516307353,5.553128
238,93,37.0,0.3033145315372582,5.1944675
239,100,20.0,0.3017979588795719,5.3615484
240,163,111.0,0.30028896908517405,5.2734365
241,254,178.0,0.2987875242397482,5.3215513
242,186,128.0,0.29729358661854943,5.7766037
243,500,238.0,0.29580711868545667,5.6378155
244,228,-6.0,0.2943280830920294,5.918898
245,104,36.0,0.29285644267656924,5.7326746
246,52,28.0,0.2913921604631864,5.8371773
247,264,186.0,0.28993519966087045,6.0336995
248,172,138.0,0.2884855236625661,5.8941875
249,112,80.0,0.28704309604425327,6.4058223
250,224,188.0,0.285607880564032,5.9587345
251,157,51.0,0.28417984116121187,6.176698
252,133,93.0,0.2827589419554058,6.0237865
253,31,11.0,0.28134514724562876,6.24144
254,279,163.0,0.2799384215094006,6.430481
255,193,159.0,0.27853872940185365,6.3930187
256,220,144.0,0.27714603575484437,6.435809
